serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10000146,30-8,"Thrombin, Human",ssDNA,0.4,0.8445566689133536,0.85,0.77,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000146_30-8
10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,0.9031480891004199,0.88,0.83,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000155_60-18_38
10000156,60-18[29],"Thrombin, Human",ssDNA,0.5,0.912460470261335,0.89,0.84,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000156_60-18_29
10000157,60-18[27],"Thrombin, Human",ssDNA,0.7,0.9340210960917971,0.9,0.86,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000157_60-18_27
10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,0.8159463162937498,0.86,0.73,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000152_30-38_29
10000154,60-18,"Thrombin, Human",ssDNA,0.92,0.6580065296952321,0.68,0.57,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000154_60-18
10000147,30-14,"Thrombin, Human",ssDNA,0.96,0.8181462506636119,0.84,0.74,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000147_30-14
10000149,30-16[29],"Thrombin, Human",ssDNA,30,0.8480250929207461,0.86,0.77,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000149_30-16_29
10000153,30-38[27],"Thrombin, Human",ssDNA,42,0.8623714083855983,0.87,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000153_30-38_27
10000150,30-16[27],"Thrombin, Human",ssDNA,126,0.8573270298875975,0.86,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000150_30-16_27
10000084,126,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.14,0.5846283307326918,0.21,0.05,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000084_126
10000082,40,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.19,0.5632133176605396,0.17,0.04,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000082_40
10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,0.5896818915169033,0.21,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000073_100
10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,0.6025732841450577,0.16,0.09,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000074_100t
10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,0.6355297687858448,0.19,0.12,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000075_44t
10000081,12,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,0.5590426446092007,0.13,0.04,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000081_12
10000083,84,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.82,0.557571370073992,0.13,0.04,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000083_84
10000076,12t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.1,0.5649255641138778,0.15,0.04,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000076_12t
10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,0.5842260085409918,0.16,0.07,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000079_126t
10000080,44,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.7,0.5726127679246164,0.15,0.05,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000080_44
10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,0.5686084945960932,0.15,0.05,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000078_84t
10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20,0.5758059889778799,0.15,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000077_40t
