job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000008_5A,Basic fibroblast growth factor (bFGF),23.0,-1.6382721662521362,-2.7732038497924805
10000009_7A,Basic fibroblast growth factor (bFGF),5.0,-2.301029920578003,-3.001232147216797
10000010_13A,Basic fibroblast growth factor (bFGF),3.2,-2.494849920272827,-3.4545655250549316
10000011_14A,Basic fibroblast growth factor (bFGF),3.0,-2.522878646850586,-3.529341220855713
10000012_21A,Basic fibroblast growth factor (bFGF),8.1,-2.091515064239502,-2.9359066486358643
10000013_12A,Basic fibroblast growth factor (bFGF),0.51,-3.2924299240112305,-2.8053102493286133
10000014_26At,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-2.2723588943481445
10000015_26A,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-2.8512284755706787
10000016_22B,Basic fibroblast growth factor (bFGF),0.13,-3.886056661605835,-2.9238295555114746
10000017_28B,Basic fibroblast growth factor (bFGF),0.32,-3.494849920272827,-3.3480911254882812
10000118_C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.1785104274749756
10000118_C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.1780266761779785
10000119_C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.3044803142547607
10000120_C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.1460635662078857
10000121_C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.031843662261963
10000122_C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.2463390827178955
10000123_C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-4.023400783538818
10000124_C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.648888111114502
10000125_C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.639969825744629
10000126_C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.612020492553711
10000127_C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.649324893951416
10000128_C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.9318325519561768
10000131_D17.4,"Immunoglobulin E (IgE), Human",10.0,-2.0,-2.450111150741577
10000498_4.4.2,"Immunoglobulin E (IgE), Human",30.0,-1.5228787660598755,-2.8174009323120117
10000506_4.4.10,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-1.8485199213027954
10000508_4.4.12,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-2.0583181381225586
10000512_4.4.16,"Immunoglobulin E (IgE), Human",39.0,-1.4089354276657104,-2.1216487884521484
10000516_4.4.20,"Immunoglobulin E (IgE), Human",25.0,-1.6020599603652954,-2.443312168121338
10000523_4.4.27,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-1.9553236961364746
10000532_Clone_2.11,"Immunoglobulin E (IgE), Human",84.0,-1.0757206678390503,-3.135436534881592
10000533_Clone_2.15,"Immunoglobulin E (IgE), Human",44.0,-1.3565473556518555,-2.223670721054077
10000534_Clone_2.22,"Immunoglobulin E (IgE), Human",37.0,-1.4317982196807861,-2.224698305130005
10000535_Clone_4.6,"Immunoglobulin E (IgE), Human",27.0,-1.568636178970337,-2.020681619644165
10000536_Clone_4.10,"Immunoglobulin E (IgE), Human",73.0,-1.1366771459579468,-2.4677200317382812
10000537_Clone_4.15,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-2.178685426712036
10000146_30-8,"Thrombin, Human",0.4,-3.397939920425415,-1.6683077812194824
10000147_30-14,"Thrombin, Human",0.96,-3.017728805541992,-2.468989610671997
10000149_30-16_29,"Thrombin, Human",30.0,-1.5228787660598755,-1.5756845474243164
10000150_30-16_27,"Thrombin, Human",126.0,-0.8996294736862183,-1.460370421409607
10000152_30-38_29,"Thrombin, Human",0.9,-3.045757532119751,-1.9446455240249634
10000153_30-38_27,"Thrombin, Human",42.0,-1.3767507076263428,-1.909435749053955
10000154_60-18,"Thrombin, Human",0.92,-3.036212205886841,-1.6143447160720825
10000155_60-18_38,"Thrombin, Human",0.5,-3.301029920578003,-1.6602994203567505
10000156_60-18_29,"Thrombin, Human",0.5,-3.301029920578003,-1.716186761856079
10000157_60-18_27,"Thrombin, Human",0.7,-3.1549019813537598,-1.612268090248108
10000073_100,Vascular Endothelial Growth Factor (VEGF),0.2,-3.698970079421997,-2.0995736122131348
10000074_100t,Vascular Endothelial Growth Factor (VEGF),0.42,-3.3767507076263428,-1.446202039718628
10000075_44t,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-1.7356497049331665
10000076_12t,Vascular Endothelial Growth Factor (VEGF),1.1,-2.9586074352264404,-1.4431772232055664
10000077_40t,Vascular Endothelial Growth Factor (VEGF),20.0,-1.6989699602127075,-1.79913330078125
10000078_84t,Vascular Endothelial Growth Factor (VEGF),1.8,-2.744727611541748,-1.5685445070266724
10000079_126t,Vascular Endothelial Growth Factor (VEGF),1.4,-2.853872060775757,-1.7315045595169067
10000080_44,Vascular Endothelial Growth Factor (VEGF),1.7,-2.7695510387420654,-2.3779726028442383
10000081_12,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-2.1068596839904785
10000082_40,Vascular Endothelial Growth Factor (VEGF),0.19,-3.7212464809417725,-2.788625955581665
10000083_84,Vascular Endothelial Growth Factor (VEGF),0.82,-3.086186170578003,-2.6719696521759033
10000084_126,Vascular Endothelial Growth Factor (VEGF),0.14,-3.853872060775757,-1.736830234527588
