job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000535_Clone_4.6,"Immunoglobulin E (IgE), Human",27.0,-1.568636178970337,-1.6017744541168213
10000536_Clone_4.10,"Immunoglobulin E (IgE), Human",73.0,-1.1366771459579468,-1.9064987897872925
10000537_Clone_4.15,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-1.417309045791626
10001093_anti-KpnI_RNA_Aptamer_20,KpnI isoschizomer Acc65I,11.6,-1.9355419874191284,-2.4138941764831543
10001094_anti-KpnI_RNA_Aptamer_24,KpnI isoschizomer Acc65I,28.7,-1.5421180725097656,-2.755253791809082
10001095_anti-KpnI_RNA_Aptamer_29,KpnI isoschizomer Acc65I,419.0,-0.37778598070144653,-2.8287923336029053
10001096_anti-KpnI_RNA_Aptamer_30,KpnI isoschizomer Acc65I,18.6,-1.7304871082305908,-2.463327407836914
10001374_LDH7r-1,"Lactate dehydrogenase (LDH), Human",21.3,-1.6716203689575195,-1.9553216695785522
10001375_LDH7r-9,"Lactate dehydrogenase (LDH), Human",12.0,-1.92081880569458,-1.2274565696716309
10001376_LDH8r-2,"Lactate dehydrogenase (LDH), Human",10.2,-1.9913997650146484,-0.9189337491989136
10001377_LDH9r-1,"Lactate dehydrogenase (LDH), Human",19.3,-1.7144427299499512,-2.1722264289855957
10001298_Ylac1,Lactoferrin,2.2,-2.6575772762298584,-2.7309012413024902
10001299_Ylac4,Lactoferrin,4.0,-2.397939920425415,-2.4280807971954346
10001300_Ylac5,Lactoferrin,4.7,-2.32790207862854,-2.702709197998047
10001301_Ylac6,Lactoferrin,1.9,-2.7212464809417725,-2.744702100753784
10001302_Ylac8,Lactoferrin,1.0,-3.0,-2.4052155017852783
10001303_Ylac9,Lactoferrin,2.6,-2.585026741027832,-2.904219388961792
10000865_Lep1,"Leptin protein, Human",870.0,-0.060480743646621704,-1.157432198524475
10000866_Lep2,"Leptin protein, Human",410.0,-0.38721615076065063,-1.6254792213439941
10000867_Lep3,"Leptin protein, Human",320.0,-0.4948500394821167,-1.8752453327178955
10000868_Lep4,"Leptin protein, Human",1470.0,0.16731734573841095,-1.1888978481292725
10001212_MAMA2,Mammaglobin A (MGB1),2.0,-2.698970079421997,-1.5019937753677368
10001213_MAMA5,Mammaglobin A (MGB1),54.0,-1.267606258392334,-1.6352214813232422
10001214_MAMA6,Mammaglobin A (MGB1),49.0,-1.3098039627075195,-1.4874763488769531
10001215_MAMA12,Mammaglobin A (MGB1),8.0,-2.096909999847412,-1.6095095872879028
10001206_MAMB0,Mammaglobin B (MGB2),80.0,-1.096909999847412,-1.7868409156799316
10001207_MAMB1,Mammaglobin B (MGB2),13.0,-1.886056661605835,-1.8027127981185913
10001208_MAMB4,Mammaglobin B (MGB2),105.0,-0.978810727596283,-2.112344264984131
10001209_MAMB8,Mammaglobin B (MGB2),78.0,-1.107905387878418,-1.9444963932037354
10001210_MAMB12,Mammaglobin B (MGB2),19.0,-1.721246361732483,-1.8025703430175781
10001211_MAMB57,Mammaglobin B (MGB2),72.0,-1.142667531967163,-1.831606388092041
10000398_11,Mammalian translation initiation factor 4A (eIF4A),8000.0,0.9030900001525879,-2.2073473930358887
10000399_1,Mammalian translation initiation factor 4A (eIF4A),3000.0,0.4771212637424469,-2.4581072330474854
10000400_20,Mammalian translation initiation factor 4A (eIF4A),44.0,-1.3565473556518555,-2.0805773735046387
10000401_30,Mammalian translation initiation factor 4A (eIF4A),1000.0,0.0,-1.9622997045516968
10000402_no.21,Mammalian translation initiation factor 4A (eIF4A),27.0,-1.568636178970337,-2.2340471744537354
10000660_MUC1-5TR-1,Mucin 1 (MUC1) recombinant protein MUC1-5TR,47.3,-1.325138807296753,-0.9760392904281616
10000661_MUC1-5TR-2,Mucin 1 (MUC1) recombinant protein MUC1-5TR,85.2,-1.0695604085922241,-1.1138410568237305
10000662_MUC1-5TR-3,Mucin 1 (MUC1) recombinant protein MUC1-5TR,83.0,-1.0809218883514404,-1.2667042016983032
10000663_MUC1-5TR-4,Mucin 1 (MUC1) recombinant protein MUC1-5TR,69.0,-1.1611509323120117,-1.3574535846710205
10000353_aptamer_A.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",16.0,-1.7958799600601196,-1.533362627029419
10000354_aptamer_B.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",1.5,-2.823908805847168,-1.8635923862457275
10000355_aptamer_B.3,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",10.0,-2.0,-1.9494577646255493
10000356_aptamer_B.2_SLII,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",200.0,-0.6989700198173523,-0.2204735279083252
10000676_4C3,Proteinase K-resistant isoform (PrPSc),48.0,-1.3187587261199951,-2.617436170578003
10000677_4C5,Proteinase K-resistant isoform (PrPSc),30.0,-1.5228787660598755,-1.9746477603912354
10000678_4C6,Proteinase K-resistant isoform (PrPSc),20.0,-1.6989699602127075,-2.3738667964935303
10000679_4C8,Proteinase K-resistant isoform (PrPSc),56.0,-1.2518119812011719,-1.8173884153366089
10000680_4C10,Proteinase K-resistant isoform (PrPSc),33.0,-1.4814860820770264,-1.4615211486816406
10000681_4C17,Proteinase K-resistant isoform (PrPSc),19.0,-1.721246361732483,-1.8453541994094849
10000682_4C20,Proteinase K-resistant isoform (PrPSc),79.0,-1.1023728847503662,-2.8440260887145996
10000683_4C26,Proteinase K-resistant isoform (PrPSc),18.0,-1.7447274923324585,-1.7462921142578125
10000582_F38,RNA-dependent RNA polymerase (3Dpol),460.0,-0.33724215626716614,-1.7103029489517212
10000583_F47,RNA-dependent RNA polymerase (3Dpol),375.0,-0.425968736410141,-1.7577844858169556
10000584_F52,RNA-dependent RNA polymerase (3Dpol),625.0,-0.2041199803352356,-1.9878382682800293
10000585_F47tr,RNA-dependent RNA polymerase (3Dpol),325.0,-0.48811665177345276,-0.6821399331092834
10000861_HA68,Recombinant HA protein from swine IAV H3 cluster IV,7.1,-2.1487417221069336,-1.357469081878662
10000862_HA7,Recombinant HA protein from swine IAV H3 cluster IV,22.3,-1.6516951322555542,-1.6712708473205566
10000863_HA2a,Recombinant HA protein from swine IAV H3 cluster IV,16.0,-1.7958799600601196,-1.0492393970489502
10000864_HA2b,Recombinant HA protein from swine IAV H3 cluster IV,3.7,-2.431798219680786,-1.1652508974075317
10000087_RT1,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),1.0,-3.0,-1.3291646242141724
10000088_RT1t49,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),4.0,-2.397939920425415,-2.2721545696258545
10000089_RT4,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),8.0,-2.096909999847412,-1.3849170207977295
10000090_RT6,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),5.0,-2.301029920578003,-1.329423427581787
10000091_RT8,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),5.0,-2.301029920578003,-1.4276951551437378
10000092_RT10,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),11.0,-1.9586073160171509,-1.4589173793792725
10000093_RT12,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),2.0,-2.698970079421997,-1.3190480470657349
10000094_RT26,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),1.0,-3.0,-1.3732552528381348
10000095_RT36,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),4.0,-2.397939920425415,-1.4910202026367188
10001339_C7,"Rituximab, anti-CD20 lgG1 antibody",8.8,-2.0555174350738525,-2.468294143676758
10001341_C4,"Rituximab, anti-CD20 lgG1 antibody",86.7,-1.061980962753296,-1.6552176475524902
10001342_C5,"Rituximab, anti-CD20 lgG1 antibody",56.5,-1.2479515075683594,-1.7823901176452637
10001343_C10,"Rituximab, anti-CD20 lgG1 antibody",17.6,-1.7544872760772705,-2.09503173828125
10001344_C57,"Rituximab, anti-CD20 lgG1 antibody",82.4,-1.0840728282928467,-1.816437005996704
10001386_C7,SARS-CoV-2 Spike glycoprotein,89.41,-1.0486139059066772,-1.744055986404419
10001387_C9,SARS-CoV-2 Spike glycoprotein,231.9,-0.6346992254257202,-2.0238265991210938
10001400_C7,SARS-CoV-2 Spike glycoprotein,89.41,-1.0486139059066772,-1.8431974649429321
10001401_C9,SARS-CoV-2 Spike glycoprotein,231.9,-0.6346992254257202,-1.3918368816375732
10001304_Tr-1,Soluble Interleukin 2 Receptor α (CD25),122.0,-0.9136401414871216,-2.510061264038086
10001305_Tr-6,Soluble Interleukin 2 Receptor α (CD25),96.9,-1.0136761665344238,-2.391310453414917
10001306_Tr-7,Soluble Interleukin 2 Receptor α (CD25),68.2,-1.1662156581878662,-2.310279130935669
10001307_Tr-8,Soluble Interleukin 2 Receptor α (CD25),35.7,-1.4473317861557007,-2.571397304534912
10001308_Tr-11,Soluble Interleukin 2 Receptor α (CD25),46.1,-1.3362990617752075,-2.5595321655273438
10000577_I-26,Streptavidin,85.2,-1.0695604085922241,-1.4277151823043823
10000578_II-31,Streptavidin,56.7,-1.2464169263839722,-1.590399980545044
10000579_III-30,Streptavidin,65.5,-1.1837587356567383,-1.3318941593170166
10000580_IV-33,Streptavidin,59.0,-1.229148030281067,-1.6124545335769653
10000768_Aptamer_32_34,Streptavidin,69.277,-1.1594109535217285,-1.480485200881958
10000769_Aptamer_29,Streptavidin,94.228,-1.025820016860962,-1.5606685876846313
10000770_Aptamer_30,Streptavidin,104.265,-0.9818614721298218,-1.3651938438415527
10000146_30-8,"Thrombin, Human",0.4,-3.397939920425415,-1.2658882141113281
10000147_30-14,"Thrombin, Human",0.96,-3.017728805541992,-2.599468231201172
10000149_30-16_29,"Thrombin, Human",30.0,-1.5228787660598755,-1.3183799982070923
10000150_30-16_27,"Thrombin, Human",126.0,-0.8996294736862183,-1.1330664157867432
10000152_30-38_29,"Thrombin, Human",0.9,-3.045757532119751,-1.5480504035949707
10000153_30-38_27,"Thrombin, Human",42.0,-1.3767507076263428,-1.8447309732437134
10000154_60-18,"Thrombin, Human",0.92,-3.036212205886841,-1.9303059577941895
10000155_60-18_38,"Thrombin, Human",0.5,-3.301029920578003,-1.4908589124679565
10000156_60-18_29,"Thrombin, Human",0.5,-3.301029920578003,-1.4031699895858765
10000157_60-18_27,"Thrombin, Human",0.7,-3.1549019813537598,-1.2539384365081787
10000254_85,"Unr (Upstream of N-Ras) protein, Human",11.0,-1.9586073160171509,-0.8947305679321289
10000255_88,"Unr (Upstream of N-Ras) protein, Human",10.0,-2.0,-0.7062686681747437
10000256_76,"Unr (Upstream of N-Ras) protein, Human",10.0,-2.0,-0.6015602350234985
10000257_98,"Unr (Upstream of N-Ras) protein, Human",21.0,-1.6777807474136353,-1.2073867321014404
10000258_58,"Unr (Upstream of N-Ras) protein, Human",13.0,-1.886056661605835,-0.6484599113464355
10000259_77,"Unr (Upstream of N-Ras) protein, Human",10.0,-2.0,-0.31571656465530396
10000260_78,"Unr (Upstream of N-Ras) protein, Human",8.0,-2.096909999847412,-0.9022209644317627
10000073_100,Vascular Endothelial Growth Factor (VEGF),0.2,-3.698970079421997,-1.3811174631118774
10000074_100t,Vascular Endothelial Growth Factor (VEGF),0.42,-3.3767507076263428,-1.6560726165771484
10000075_44t,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-1.7275971174240112
10000076_12t,Vascular Endothelial Growth Factor (VEGF),1.1,-2.9586074352264404,-1.6018341779708862
10000077_40t,Vascular Endothelial Growth Factor (VEGF),20.0,-1.6989699602127075,-1.7740362882614136
10000078_84t,Vascular Endothelial Growth Factor (VEGF),1.8,-2.744727611541748,-1.5339322090148926
10000079_126t,Vascular Endothelial Growth Factor (VEGF),1.4,-2.853872060775757,-1.8572781085968018
10000080_44,Vascular Endothelial Growth Factor (VEGF),1.7,-2.7695510387420654,-1.2334328889846802
10000081_12,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-1.2172927856445312
10000082_40,Vascular Endothelial Growth Factor (VEGF),0.19,-3.7212464809417725,-1.8530857563018799
10000083_84,Vascular Endothelial Growth Factor (VEGF),0.82,-3.086186170578003,-1.9254635572433472
10000084_126,Vascular Endothelial Growth Factor (VEGF),0.14,-3.853872060775757,-1.10991632938385
