job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000123_C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.551296710968018
10000124_C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.290797233581543
10000125_C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.109801292419434
10000126_C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.196505069732666
10000127_C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.0928239822387695
10000128_C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.318741798400879
10000131_D17.4,"Immunoglobulin E (IgE), Human",10.0,-2.0,-3.1400070190429688
10000498_4.4.2,"Immunoglobulin E (IgE), Human",30.0,-1.5228787660598755,-1.92872953414917
10000506_4.4.10,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-1.712979793548584
10000508_4.4.12,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-1.4153225421905518
10000512_4.4.16,"Immunoglobulin E (IgE), Human",39.0,-1.4089354276657104,-1.3188389539718628
10000516_4.4.20,"Immunoglobulin E (IgE), Human",25.0,-1.6020599603652954,-1.6876697540283203
10000523_4.4.27,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-1.3467450141906738
10000532_Clone_2.11,"Immunoglobulin E (IgE), Human",84.0,-1.0757206678390503,-2.0612759590148926
10000533_Clone_2.15,"Immunoglobulin E (IgE), Human",44.0,-1.3565473556518555,-2.6145403385162354
10000534_Clone_2.22,"Immunoglobulin E (IgE), Human",37.0,-1.4317982196807861,-2.1477344036102295
10000535_Clone_4.6,"Immunoglobulin E (IgE), Human",27.0,-1.568636178970337,-2.169884204864502
10000536_Clone_4.10,"Immunoglobulin E (IgE), Human",73.0,-1.1366771459579468,-1.9251999855041504
10000537_Clone_4.15,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-2.2463159561157227
10000146_30-8,"Thrombin, Human",0.4,-3.397939920425415,-1.819230556488037
10000147_30-14,"Thrombin, Human",0.96,-3.017728805541992,-2.1650941371917725
10000149_30-16_29,"Thrombin, Human",30.0,-1.5228787660598755,-2.42482590675354
10000150_30-16_27,"Thrombin, Human",126.0,-0.8996294736862183,-2.502361297607422
10000152_30-38_29,"Thrombin, Human",0.9,-3.045757532119751,-2.830747604370117
10000153_30-38_27,"Thrombin, Human",42.0,-1.3767507076263428,-2.829559326171875
10000154_60-18,"Thrombin, Human",0.92,-3.036212205886841,-1.0232727527618408
10000155_60-18_38,"Thrombin, Human",0.5,-3.301029920578003,-2.871577024459839
10000156_60-18_29,"Thrombin, Human",0.5,-3.301029920578003,-2.419171094894409
10000157_60-18_27,"Thrombin, Human",0.7,-3.1549019813537598,-2.3491547107696533
10000073_100,Vascular Endothelial Growth Factor (VEGF),0.2,-3.698970079421997,-3.732800006866455
10000074_100t,Vascular Endothelial Growth Factor (VEGF),0.42,-3.3767507076263428,-3.8534321784973145
10000075_44t,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-3.8557076454162598
10000076_12t,Vascular Endothelial Growth Factor (VEGF),1.1,-2.9586074352264404,-3.910489797592163
10000077_40t,Vascular Endothelial Growth Factor (VEGF),20.0,-1.6989699602127075,-3.7882747650146484
10000078_84t,Vascular Endothelial Growth Factor (VEGF),1.8,-2.744727611541748,-3.9596152305603027
10000079_126t,Vascular Endothelial Growth Factor (VEGF),1.4,-2.853872060775757,-4.01227331161499
10000080_44,Vascular Endothelial Growth Factor (VEGF),1.7,-2.7695510387420654,-3.8640642166137695
10000081_12,Vascular Endothelial Growth Factor (VEGF),0.48,-3.318758726119995,-3.529353618621826
10000082_40,Vascular Endothelial Growth Factor (VEGF),0.19,-3.7212464809417725,-4.071078777313232
10000083_84,Vascular Endothelial Growth Factor (VEGF),0.82,-3.086186170578003,-3.7946622371673584
10000084_126,Vascular Endothelial Growth Factor (VEGF),0.14,-3.853872060775757,-3.6726579666137695
