rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
27,10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3.0,-1.2082850933074951,0.24830836057662964
28,10001400,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,-1.1926617622375488,0.20173881947994232
29,10000174,D.21-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.01,-1.1667417287826538,0.2101779282093048
30,10000455,F3-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,4.0,-1.1616731882095337,0.24821476638317108
31,10001095,anti-KpnI RNA Aptamer 29,KpnI isoschizomer Acc65I,ssRNA,419.0,-1.1517441272735596,0.2661118805408478
32,10001029,PR10.1-8E,HIV-1 aspartyl protease (PR),ssRNA,17.0,-1.1396654844284058,0.22706665098667145
33,10001030,PR10.1-8A,HIV-1 aspartyl protease (PR),ssRNA,2.2,-1.1155716180801392,0.2322601079940796
34,10000561,Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.1,-1.1047422885894775,0.11749928444623947
35,10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,-1.1041021347045898,0.05450839549303055
36,10000154,60-18,"Thrombin, Human",ssDNA,0.92,-1.0924646854400635,0.3388672471046448
37,10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,-1.0797051191329956,0.07168293744325638
38,10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,-1.0735666751861572,0.09865196794271469
39,10000453,F1-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,2.0,-1.0685020685195923,0.20608364045619965
40,10001031,PR10.9-8N,HIV-1 aspartyl protease (PR),ssRNA,4.3,-1.0614972114562988,0.19073595106601715
41,10000629,Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,67.0,-1.0493650436401367,0.21717175841331482
42,10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,-1.0359129905700684,0.06012486666440964
43,10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76.0,-1.0237557888031006,0.13902300596237183
44,10000630,Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,130.0,-1.0194536447525024,0.12757283449172974
45,10000983,AptER-3,Estrogen receptor alpha (ERα),ssRNA,30.0,-1.0075005292892456,0.22849860787391663
46,10000678,4C6,Proteinase K-resistant isoform (PrPSc),ssDNA,20.0,-1.0050410032272339,0.32055890560150146
47,10000090,RT6,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5.0,-0.9965500831604004,0.2045472413301468
48,10000456,F4-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,7.0,-0.9935402274131775,0.18494319915771484
49,10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,-0.9481264352798462,0.10146402567625046
50,10000093,RT12,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,2.0,-0.9411225318908691,0.11854992061853409
51,10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44.0,-0.9072527885437012,0.11891891807317734
52,10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,-0.8943859934806824,0.1896510273218155
53,10000769,Aptamer 29,Streptavidin,ssDNA,94.228,-0.878516674041748,0.17661550641059875
54,10000559,Apt- 83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.006,-0.8715715408325195,0.13221484422683716
55,10000147,30-14,"Thrombin, Human",ssDNA,0.96,-0.8395184874534607,0.29674074053764343
56,10000677,4C5,Proteinase K-resistant isoform (PrPSc),ssDNA,30.0,-0.8352408409118652,0.31132858991622925
57,10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33.0,-0.8202487826347351,0.10042598843574524
58,10000402,no.21,Mammalian translation initiation factor 4A (eIF4A),ssRNA,27.0,-0.8166234493255615,0.2195248007774353
59,10000353,aptamer A.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,16.0,-0.8160847425460815,0.16170363128185272
60,10001401,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,-0.8107001781463623,0.2051592469215393
61,10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50.0,-0.8101714849472046,0.14480610191822052
62,10000863,HA2a,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,16.0,-0.8064468502998352,0.15801012516021729
63,10000087,RT1,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1.0,-0.7989790439605713,0.19092589616775513
64,10001094,anti-KpnI RNA Aptamer 24,KpnI isoschizomer Acc65I,ssRNA,28.7,-0.796110212802887,0.27941036224365234
65,10000126,C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.7835397720336914,0.1837272197008133
66,10000457,F4-2,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,294.0,-0.7783555388450623,0.18469132483005524
67,10000092,RT10,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,11.0,-0.7749074101448059,0.27758651971817017
68,10000584,F52,RNA-dependent RNA polymerase (3Dpol),ssRNA,625.0,-0.7652338743209839,0.24821414053440094
69,10000628,Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,28.0,-0.7567070722579956,0.12574167549610138
70,10001375,LDH7r-9,"Lactate dehydrogenase (LDH), Human",ssDNA,12.0,-0.753620982170105,0.14730171859264374
71,10000982,AptER-2,Estrogen receptor alpha (ERα),ssRNA,21.0,-0.7434685230255127,0.21699221432209015
72,10001093,anti-KpnI RNA Aptamer 20,KpnI isoschizomer Acc65I,ssRNA,11.6,-0.7340084314346313,0.24094487726688385
73,10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27.0,-0.7121868133544922,0.11711456626653671
74,10000398,#11,Mammalian translation initiation factor 4A (eIF4A),ssRNA,8000.0,-0.7085599303245544,0.27025923132896423
75,10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,-0.7075822949409485,0.04513390734791756
76,10000399,#1,Mammalian translation initiation factor 4A (eIF4A),ssRNA,3000.0,-0.6948490142822266,0.18332074582576752
77,10000401,#30,Mammalian translation initiation factor 4A (eIF4A),ssRNA,1000.0,-0.6883479356765747,0.20518147945404053
78,10001027,PR10.1,HIV-1 aspartyl protease (PR),ssRNA,115.0,-0.6818843483924866,0.1979374885559082
79,10000768,"Aptamer 32, 34",Streptavidin,ssDNA,69.277,-0.6692695021629333,0.34125521779060364
80,10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5.0,-0.6268787384033203,0.15785089135169983
81,10000400,#20,Mammalian translation initiation factor 4A (eIF4A),ssRNA,44.0,-0.6243730187416077,0.18989355862140656
82,10000864,HA2b,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,3.7,-0.6093654632568359,0.1149570569396019
83,10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37.0,-0.5960839986801147,0.09601523727178574
84,10000089,RT4,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,8.0,-0.582791805267334,0.21552765369415283
85,10000627,Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,81.0,-0.569876492023468,0.0943007618188858
86,10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89.0,-0.5495131611824036,0.1319674551486969
87,10000582,F38,RNA-dependent RNA polymerase (3Dpol),ssRNA,460.0,-0.5401471257209778,0.24406883120536804
88,10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23.0,-0.5313156247138977,0.21845583617687225
89,10000083,84,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.82,-0.524613082408905,0.19101543724536896
90,10001141,ER_Apt1,Estrogen receptor alpha (ERα),ssDNA,11.5,-0.5241031646728516,0.17160867154598236
91,10000626,Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,104.0,-0.5194990634918213,0.06056027114391327
92,10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.5020755529403687,0.20172229409217834
93,10000680,4C10,Proteinase K-resistant isoform (PrPSc),ssDNA,33.0,-0.47922807931900024,0.19286946952342987
94,10000867,Lep3,"Leptin protein, Human",ssDNA,320.0,-0.47351908683776855,0.10880935937166214
95,10000865,Lep1,"Leptin protein, Human",ssDNA,870.0,-0.44854316115379333,0.27209123969078064
96,10000091,RT8,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5.0,-0.3956165313720703,0.16438597440719604
97,10000082,40,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.19,-0.3824608325958252,0.19507527351379395
98,10000681,4C17,Proteinase K-resistant isoform (PrPSc),ssDNA,19.0,-0.34362852573394775,0.3559257686138153
99,10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.3211282193660736,0.23972399532794952
100,10000094,RT26,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1.0,-0.29898494482040405,0.11300409585237503
101,10001096,anti-KpnI RNA Aptamer 30,KpnI isoschizomer Acc65I,ssRNA,18.6,-0.298265278339386,0.3003445565700531
102,10000679,4C8,Proteinase K-resistant isoform (PrPSc),ssDNA,56.0,-0.29174280166625977,0.2815001606941223
103,10001207,MAMB1,Mammaglobin B (MGB2),ssDNA,13.0,-0.27918654680252075,0.23148390650749207
104,10001212,MAMA2,Mammaglobin A (MGB1),ssDNA,2.0,-0.27508318424224854,0.22483493387699127
105,10000862,HA7,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,22.3,-0.2646348476409912,0.19916121661663055
106,10000088,RT1t49,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4.0,-0.2307557612657547,0.14521943032741547
107,10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,-0.2215619683265686,0.22224931418895721
108,10001210,MAMB12,Mammaglobin B (MGB2),ssDNA,19.0,-0.20856410264968872,0.17954504489898682
109,10001214,MAMA6,Mammaglobin A (MGB1),ssDNA,49.0,-0.2075023055076599,0.22258791327476501
110,10001208,MAMB4,Mammaglobin B (MGB2),ssDNA,105.0,-0.187875896692276,0.15686632692813873
111,10001303,Ylac9,Lactoferrin,ssDNA,2.6,-0.17700998485088348,0.1194949746131897
112,10000173,D.30-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.047,-0.16455835103988647,0.20604237914085388
113,10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23.0,-0.16069582104682922,0.08686096221208572
114,10000171,Trnc.2-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,3.1,-0.11917151510715485,0.36038780212402344
115,10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30.0,-0.10445517301559448,0.10788470506668091
116,10000536,Clone 4.10,"Immunoglobulin E (IgE), Human",ssDNA,73.0,-0.08248376846313477,0.19106554985046387
117,10001206,MAMB0,Mammaglobin B (MGB2),ssDNA,80.0,-0.07998710870742798,0.20266179740428925
118,10001376,LDH8r-2,"Lactate dehydrogenase (LDH), Human",ssDNA,10.2,-0.0774422287940979,0.23767556250095367
119,10000579,III-30,Streptavidin,ssDNA,65.5,-0.055401384830474854,0.11338076740503311
120,10000866,Lep2,"Leptin protein, Human",ssDNA,410.0,-0.04778176546096802,0.12501980364322662
121,10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.04300332069396973,0.22372621297836304
122,10000578,II-31,Streptavidin,ssDNA,56.7,-0.04095339775085449,0.5066295862197876
123,10001209,MAMB8,Mammaglobin B (MGB2),ssDNA,78.0,-0.03794106841087341,0.19711267948150635
124,10001302,Ylac8,Lactoferrin,ssDNA,1.0,-0.028121918439865112,0.14177213609218597
125,10001342,C5,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,56.5,-0.019768059253692627,0.08598250895738602
126,10000512,4.4.16,"Immunoglobulin E (IgE), Human",ssDNA,39.0,0.02559340000152588,0.0815434604883194
127,10001213,MAMA5,Mammaglobin A (MGB1),ssDNA,54.0,0.04054373502731323,0.20367972552776337
128,10001211,MAMB57,Mammaglobin B (MGB2),ssDNA,72.0,0.04859316349029541,0.15796080231666565
129,10001215,MAMA12,Mammaglobin A (MGB1),ssDNA,8.0,0.07607078552246094,0.23397178947925568
130,10000580,IV-33,Streptavidin,ssDNA,59.0,0.0838555097579956,0.2047993242740631
131,10000583,F47,RNA-dependent RNA polymerase (3Dpol),ssRNA,375.0,0.08829203248023987,0.22305183112621307
132,10001339,C7,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,8.8,0.093475840985775,0.04890469089150429
133,10000134,TQ30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.04,0.10090339183807373,0.28322315216064453
134,10000683,4C26,Proteinase K-resistant isoform (PrPSc),ssDNA,18.0,0.10471981763839722,0.3081890642642975
135,10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23.0,0.18207255005836487,0.1992468535900116
136,10001301,Ylac6,Lactoferrin,ssDNA,1.9,0.19306159019470215,0.15693965554237366
137,10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25.0,0.21062034368515015,0.18655706942081451
138,10001299,Ylac4,Lactoferrin,ssDNA,4.0,0.22752264142036438,0.11377197504043579
139,10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33.0,0.24719774723052979,0.08018337935209274
140,10000080,44,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.7,0.2522403597831726,0.2171565443277359
141,10001341,C4,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,86.7,0.31281372904777527,0.10946381837129593
142,10000257,98,"Unr (Upstream of N-Ras) protein, Human",ssRNA,21.0,0.32165780663490295,0.21092405915260315
143,10001298,Ylac1,Lactoferrin,ssDNA,2.2,0.35181957483291626,0.09739023447036743
144,10000146,30-8,"Thrombin, Human",ssDNA,0.4,0.39122164249420166,0.1686282902956009
145,10000868,Lep4,"Leptin protein, Human",ssDNA,1470.0,0.459978848695755,0.1546509861946106
146,10000170,Trnc.A-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.6,0.46014970541000366,0.10213779658079147
147,10000577,I-26,Streptavidin,ssDNA,85.2,0.5164703130722046,0.22177399694919586
148,10001300,Ylac5,Lactoferrin,ssDNA,4.7,0.516477108001709,0.09394362568855286
149,10001343,C10,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,17.6,0.5252187252044678,0.04488391801714897
150,10000081,12,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,0.5287984609603882,0.23859870433807373
151,10001344,C57,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,82.4,0.5982569456100464,0.0826980471611023
152,10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84.0,0.6773390769958496,0.14630332589149475
153,10000770,Aptamer 30,Streptavidin,ssDNA,104.265,0.7531190514564514,0.21312174201011658
154,10000153,30-38[27],"Thrombin, Human",ssDNA,42.0,0.7714716196060181,0.052865780889987946
155,10000663,MUC1-5TR-4,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,69.0,0.8286994695663452,0.27238932251930237
156,10000981,AptER-1,Estrogen receptor alpha (ERα),ssRNA,16.0,0.8835598230361938,0.2152421474456787
157,10000172,Trnc-21,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.009,0.8967999815940857,0.1623460203409195
158,10000256,76,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,0.981309175491333,0.1610621213912964
159,10000662,MUC1-5TR-3,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,83.0,1.0802299976348877,0.22359295189380646
160,10000260,78,"Unr (Upstream of N-Ras) protein, Human",ssRNA,8.0,1.0898799896240234,0.14904673397541046
161,10001082,C-ap15,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.234,1.1268131732940674,0.0736960768699646
162,10001081,C-ap14,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.561,1.2146888971328735,0.0606502965092659
163,10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,1.2168376445770264,0.03314269334077835
164,10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10.0,1.2471705675125122,0.1093197911977768
165,10000254,85,"Unr (Upstream of N-Ras) protein, Human",ssRNA,11.0,1.2486817836761475,0.144632950425148
166,10001083,C-ap18,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,9.734,1.2542052268981934,0.06467057019472122
167,10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,1.2590651512145996,0.022496309131383896
168,10001304,Tr-1,Soluble Interleukin 2 Receptor α (CD25),ssRNA,122.0,1.2688424587249756,0.16103731095790863
169,10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,1.29166841506958,0.1832999289035797
170,10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,1.3066617250442505,0.13304200768470764
171,10001079,C-ap11,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,7.376,1.3487128019332886,0.09468653798103333
172,10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20.0,1.3613486289978027,0.14509372413158417
173,10001080,C-ap12,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,3.893,1.3680812120437622,0.08865835517644882
174,10000258,58,"Unr (Upstream of N-Ras) protein, Human",ssRNA,13.0,1.3928654193878174,0.15983812510967255
175,10000084,126,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.14,1.4676902294158936,0.22773975133895874
176,10001306,Tr-7,Soluble Interleukin 2 Receptor α (CD25),ssRNA,68.2,1.5135700702667236,0.16439363360404968
177,10001308,Tr-11,Soluble Interleukin 2 Receptor α (CD25),ssRNA,46.1,1.5137410163879395,0.21813127398490906
178,10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,1.533492922782898,0.18789824843406677
179,10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,1.5955500602722168,0.23745492100715637
180,10001305,Tr-6,Soluble Interleukin 2 Receptor α (CD25),ssRNA,96.9,1.5967433452606201,0.20393098890781403
181,10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,1.6034005880355835,0.24447470903396606
182,10001307,Tr-8,Soluble Interleukin 2 Receptor α (CD25),ssRNA,35.7,1.6389954090118408,0.15968859195709229
183,10000255,88,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,1.6445903778076172,0.15178661048412323
184,10000660,MUC1-5TR-1,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,47.3,1.712193489074707,0.2199469357728958
185,10000076,12t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.1,1.8593783378601074,0.20006471872329712
186,10000585,F47tr,RNA-dependent RNA polymerase (3Dpol),ssRNA,325.0,1.8836711645126343,0.14515350759029388
187,10000661,MUC1-5TR-2,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,85.2,1.9139667749404907,0.36639145016670227
188,10000259,77,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,1.9341081380844116,0.1607225239276886
189,10000157,60-18[27],"Thrombin, Human",ssDNA,0.7,2.0103163719177246,0.0344659686088562
190,10000356,aptamer B.2 SLII,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,200.0,2.2043569087982178,0.13664834201335907
191,10000156,60-18[29],"Thrombin, Human",ssDNA,0.5,2.2275779247283936,0.03253528103232384
192,10000149,30-16[29],"Thrombin, Human",ssDNA,30.0,2.2589080333709717,0.03863963484764099
193,10000150,30-16[27],"Thrombin, Human",ssDNA,126.0,2.4371156692504883,0.025279955938458443
